commodity_type,commodity,date,value,variable
expellers,canola_expellers,2023-04-01,40.0,production
expellers,canola_expellers,2023-05-01,40.0,production
expellers,canola_expellers,2023-06-01,5.0,production
grains,soybean,2024-01-01,2122727.0,crush
grains,sunflower,2024-01-01,217943.0,crush
grains,peanut,2024-01-01,10303.0,crush
grains,cotton,2024-01-01,530.0,crush
grains,canola,2024-01-01,483.0,crush
oil,soybean_oil,2024-01-01,417842.0,production
oil,sunflower_oil,2024-01-01,93978.0,production
oil,peanut_oil,2024-01-01,3956.0,production
oil,cotton_oil,2024-01-01,74.0,production
oil,canola_oil,2024-01-01,184.0,production
pellets,soybean_pellets,2024-01-01,1555180.0,production
pellets,sunflower_pellets,2024-01-01,95006.0,production
pellets,peanut_pellets,2024-01-01,5789.0,production
pellets,cotton_pellets,2024-01-01,440.0,production
pellets,canola_pellets,2024-01-01,275.0,production
expellers,soybean_expellers,2024-01-01,84379.0,production
expellers,sunflower_expellers,2024-01-01,3258.0,production
grains,soybean,2023-01-01,1885017.0,crush
grains,sunflower,2023-01-01,204410.0,crush
grains,linen,2023-01-01,50.0,crush
grains,peanut,2023-01-01,15383.0,crush
grains,cotton,2023-01-01,474.0,crush
oil,soybean_oil,2023-01-01,367518.0,production
oil,sunflower_oil,2023-01-01,83686.0,production
oil,linen_oil,2023-01-01,19.0,production
oil,peanut_oil,2023-01-01,5386.0,production
oil,cotton_oil,2023-01-01,62.0,production
pellets,soybean_pellets,2023-01-01,1362759.0,production
pellets,sunflower_pellets,2023-01-01,87413.0,production
pellets,peanut_pellets,2023-01-01,8897.0,production
pellets,cotton_pellets,2023-01-01,394.0,production
expellers,soybean_expellers,2023-01-01,73082.0,production
expellers,sunflower_expellers,2023-01-01,2437.0,production
expellers,linen_expellers,2023-01-01,31.0,production
grains,soybean,2023-02-01,1554451.0,crush
grains,sunflower,2023-02-01,224359.0,crush
grains,linen,2023-02-01,275.0,crush
grains,peanut,2023-02-01,15323.0,crush
grains,cotton,2023-02-01,270.0,crush
oil,soybean_oil,2023-02-01,301861.0,production
oil,sunflower_oil,2023-02-01,95217.0,production
oil,linen_oil,2023-02-01,105.0,production
oil,peanut_oil,2023-02-01,5672.0,production
oil,cotton_oil,2023-02-01,35.0,production
pellets,soybean_pellets,2023-02-01,1106890.0,production
pellets,sunflower_pellets,2023-02-01,98757.0,production
pellets,peanut_pellets,2023-02-01,8537.0,production
pellets,cotton_pellets,2023-02-01,224.0,production
expellers,soybean_expellers,2023-02-01,68183.0,production
expellers,sunflower_expellers,2023-02-01,2508.0,production
expellers,linen_expellers,2023-02-01,171.0,production
